,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MONTANA-STATE_homegame,MONTANA-STATE_homegame2,MONTANA-STATE_home,MONTANA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-montana-state,47.1,16,11.5,3,89.9,89.2,33,0.565,69,0.493,34,0.377,26,0.885,23,0,200,127.8,43.8,14,29,101,,6.3,5,0.348,24,0.41700000000000004,10,68.1,47,0.621,13.0,12,45,0.5329999999999999,24,1.0,1,"November 6, 2018",60.0,12,8.9,4,127.8,56.3,18,0.47200000000000003,53,0.377,20,0.623,33,0.636,21,1,200,89.9,10.8,4,26,71,,5.1,4,0.509,27,0.37,10,31.9,22,0.517,16.1,13,26,0.385,10,0.0,0,"Max Worthington Arena, Bozeman, Montana",MONTANA-STATE,Montana State,78.5,Away,UTAH-STATE,Utah State,Montana State,big-sky,0,False,True,True,Home,False,10,10,53,22,69,10,24,69,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-indiana,57.1,8,0.0,0,111.1,73.3,22,0.282,55,0.255,14,0.182,10,0.4,4,2,200,48.6,23.8,10,18,35,,4.2,3,0.473,26,0.115,3,44.4,32,0.293,27.9,23,29,0.379,11,0.0,0,"November 9, 2018",68.8,22,17.2,5,48.6,76.2,32,0.614,57,0.561,32,0.33299999999999996,19,0.526,10,0,200,111.1,26.7,8,17,80,,13.9,10,0.368,21,0.28600000000000003,6,55.6,40,0.606,17.6,14,36,0.722,26,1.0,2,"Assembly Hall, Bloomington, Indiana",MONTANA-STATE,Montana State,72.4,Home,INDIANA,Indiana,Montana State,big-sky,1,False,False,False,Away,False,3,11,55,32,72,6,26,57,0,1,10,10,53,0.4716981132075472,22,69,0.3188405797101449,10,24,69,0.5652173913043478,0.0
2,2018-11-11-21-montana-state,36.4,8,10.3,4,112.2,60.7,17,0.445,55,0.4,22,0.509,28,0.679,19,0,200,91.9,6.1,2,19,68,,0.0,0,0.382,21,0.23800000000000002,5,31.1,19,0.498,14.0,11,34,0.5,17,0.0,0,"November 11, 2018",64.7,22,11.8,4,91.9,93.9,31,0.627,59,0.5760000000000001,34,0.254,15,0.6,9,2,200,112.2,39.3,11,27,83,,6.8,5,0.33899999999999997,20,0.3,6,68.9,42,0.628,18.6,15,39,0.718,28,0.33299999999999996,1,"Max Worthington Arena, Bozeman, Montana","Presentation College
			","Presentation College
			",73.7,Home,MONTANA-STATE,Montana State,Montana State,big-sky,2,True,False,True,Home,True,6,28,59,42,61,5,17,55,1,0,13,21,108,0.375,54,141,0.3829787234042553,16,50,126,0.5873015873015873,0.0
3,2018-11-14-21-colorado-state,51.9,14,3.1,1,114.1,70.3,26,0.586,58,0.466,27,0.22399999999999998,13,0.6920000000000001,9,3,200,108.5,30.0,9,26,77,,4.2,3,0.603,35,0.4,14,52.2,35,0.6,19.1,15,23,0.565,13,0.25,1,"November 14, 2018",33.3,9,4.3,1,108.5,70.0,21,0.484,62,0.435,27,0.452,28,0.75,21,0,200,114.1,29.7,11,16,81,,11.3,8,0.484,30,0.2,6,47.8,32,0.5379999999999999,8.6,7,32,0.6559999999999999,21,1.0,3,"Moby Arena, Fort Collins, Colorado",MONTANA-STATE,Montana State,70.7,Home,COLORADO-STATE,Colorado State,Montana State,big-sky,3,False,False,False,Away,False,14,13,58,35,67,6,21,62,0,1,19,49,167,0.46407185628742514,96,202,0.4752475247524752,21,67,181,0.5441988950276243,0.3333333333333333
4,2018-11-17-17-california-santa-barbara,62.5,15,2.6,1,133.3,65.5,19,0.519,54,0.444,24,0.33299999999999996,18,0.722,13,4,200,104.5,23.1,6,12,69,,6.1,4,0.426,23,0.348,8,45.5,25,0.552,13.9,10,31,0.516,16,0.2,1,"November 17, 2018",61.8,21,12.9,4,104.5,76.9,20,0.648,61,0.557,34,0.213,13,0.6920000000000001,9,1,200,133.3,34.5,10,18,88,,7.6,5,0.361,22,0.5,11,54.5,30,0.655,10.7,8,39,0.59,23,0.75,3,"The Thunderdome, Santa Barbara, California",MONTANA-STATE,Montana State,65.9,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Montana State,big-sky,4,False,False,False,Away,False,8,16,54,25,55,11,23,61,0,1,33,62,225,0.4955555555555556,131,269,0.48698884758364314,27,88,243,0.5288065843621399,0.25
5,2018-11-21-20-arkansas,57.1,12,0.0,0,113.9,67.9,19,0.449,59,0.35600000000000004,21,0.40700000000000003,24,0.625,15,5,200,86.1,45.9,17,17,68,,6.3,5,0.5760000000000001,34,0.324,11,55.4,36,0.483,25.7,24,25,0.4,10,0.16699999999999998,1,"November 21, 2018",78.4,29,16.0,4,86.1,54.1,20,0.607,70,0.529,37,0.14300000000000002,10,0.5,5,1,200,113.9,32.1,9,25,90,,16.5,13,0.5,35,0.314,11,44.6,29,0.602,15.8,14,35,0.743,26,0.75,3,"Bud Walton Arena, Fayetteville, Arkansas",MONTANA-STATE,Montana State,78.6,Home,ARKANSAS,Arkansas,Montana State,big-sky,5,False,False,False,Away,False,11,10,59,36,65,11,26,70,0,1,41,78,279,0.5,156,324,0.48148148148148145,38,111,304,0.5526315789473685,0.2
6,2018-11-24-14-nebraska-omaha,41.7,10,3.6,1,127.1,80.0,16,0.48200000000000004,57,0.42100000000000004,24,0.24600000000000002,14,0.7140000000000001,10,6,200,92.9,25.0,8,13,65,,5.7,4,0.456,26,0.26899999999999996,7,46.2,24,0.511,18.1,14,31,0.5479999999999999,17,0.14300000000000002,1,"November 24, 2018",60.6,20,6.5,2,92.9,75.0,24,0.7020000000000001,57,0.579,33,0.21100000000000002,12,0.75,9,3,200,127.1,20.0,4,17,89,,8.6,6,0.509,29,0.483,14,53.8,28,0.71,16.2,12,28,0.679,19,0.5,3,"Baxter Arena, Omaha, Nebraska",MONTANA-STATE,Montana State,70.2,Home,NEBRASKA-OMAHA,Omaha,Montana State,big-sky,6,False,False,False,Away,False,7,17,57,24,52,14,19,57,0,1,52,88,338,0.4911242603550296,192,389,0.493573264781491,49,137,374,0.5628342245989305,0.16666666666666666
7,2018-11-27-21-montana-state,65.4,17,4.7,2,109.5,60.7,17,0.613,53,0.491,26,0.34,18,0.611,11,3,200,102.7,17.9,5,21,76,,8.1,6,0.528,28,0.46399999999999997,13,39.3,22,0.617,20.8,16,25,0.52,13,0.5710000000000001,4,"November 27, 2018",42.9,12,0.0,0,102.7,82.1,23,0.517,60,0.467,28,0.36700000000000005,22,0.8640000000000001,19,6,200,109.5,39.3,11,17,81,,9.5,7,0.28300000000000003,17,0.353,6,60.7,34,0.575,18.7,16,43,0.512,22,0.25,2,"Max Worthington Arena, Bozeman, Montana",NORTH-DAKOTA,North Dakota,74.0,Home,MONTANA-STATE,Montana State,Montana State,big-sky,7,True,False,True,Home,True,6,22,60,34,56,13,13,53,1,0,59,105,395,0.489873417721519,216,441,0.4897959183673469,63,156,431,0.5812064965197216,0.14285714285714285
8,2018-12-09-19-washington-state,67.7,21,2.9,1,111.1,82.9,29,0.639,61,0.508,31,0.377,23,0.7390000000000001,17,6,200,117.3,17.2,5,18,95,,6.2,5,0.525,32,0.5,16,53.1,34,0.66,16.4,14,29,0.517,15,0.33299999999999996,3,"December 9, 2018",66.7,22,3.4,1,117.3,82.8,24,0.598,66,0.5,33,0.273,18,0.611,11,3,200,111.1,17.1,6,21,90,,7.4,6,0.485,32,0.406,13,46.9,30,0.604,14.0,12,34,0.588,20,0.625,5,"Toyota Center, Kennewick, Washington",WASHINGTON-STATE,Washington State,80.7,Away,MONTANA-STATE,Montana State,Montana State,big-sky,8,False,False,False,Away,True,16,15,61,34,64,13,20,66,1,0,65,127,455,0.49340659340659343,250,497,0.5030181086519114,76,169,484,0.5847107438016529,0.25
9,2018-12-18-21-denver,57.9,11,4.3,1,104.1,79.2,19,0.409,55,0.345,19,0.436,24,0.792,19,7,200,87.7,15.6,5,15,64,,12.3,9,0.364,20,0.35,7,42.9,24,0.48200000000000004,17.6,14,35,0.34299999999999997,12,0.3,3,"December 18, 2018",65.4,17,11.4,4,87.7,84.4,27,0.644,52,0.5,26,0.231,12,0.75,9,8,200,104.1,20.8,5,17,76,,12.3,9,0.5579999999999999,29,0.517,15,57.1,32,0.659,23.9,18,23,0.478,11,0.385,5,"Magness Arena, Denver, Colorado",MONTANA-STATE,Montana State,73.1,Home,DENVER,Denver,Montana State,big-sky,9,False,False,False,Away,False,7,12,55,24,56,15,11,52,0,1,81,142,516,0.5106589147286822,284,561,0.5062388591800356,89,189,550,0.5863636363636363,0.3333333333333333
10,2018-12-29-16-southern-utah,60.6,20,9.1,3,86.1,85.0,34,0.598,66,0.5,33,0.318,21,0.619,13,7,200,127.8,24.3,9,17,92,,4.2,3,0.39399999999999996,26,0.5,13,55.8,43,0.605,7.4,6,40,0.5,20,0.364,4,"December 29, 2018",52.2,12,7.5,3,127.8,75.7,28,0.44299999999999995,61,0.377,23,0.24600000000000002,15,0.5329999999999999,8,5,200,86.1,15.0,6,20,62,,2.8,2,0.45899999999999996,28,0.28600000000000003,8,44.2,34,0.455,11.7,9,33,0.455,15,0.5,5,"Centrum, Cedar City, Utah",SOUTHERN-UTAH,Southern Utah,72.1,Away,MONTANA-STATE,Montana State,Montana State,big-sky,10,False,False,False,Away,True,13,20,66,43,77,8,15,61,1,0,88,154,571,0.500875656742557,308,617,0.4991896272285251,104,200,602,0.5913621262458472,0.3
11,2018-12-31-14-northern-arizona,50.0,12,0.0,0,102.8,75.8,25,0.48200000000000004,57,0.42100000000000004,24,0.316,18,0.722,13,8,200,94.4,6.1,2,20,68,,4.2,3,0.386,22,0.318,7,40.9,27,0.519,13.3,10,35,0.486,17,0.33299999999999996,4,"December 31, 2018",73.1,19,2.9,1,94.4,93.9,31,0.5,59,0.441,26,0.373,22,0.682,15,9,200,102.8,24.2,8,23,74,,11.1,8,0.373,22,0.318,7,59.1,39,0.5329999999999999,10.4,8,37,0.514,19,0.25,3,"Walkup Skydome, Flagstaff, Arizona",MONTANA-STATE,Montana State,71.5,Home,NORTHERN-ARIZONA,Northern Arizona,Montana State,big-sky,11,False,False,False,Away,False,7,17,57,27,66,7,19,59,0,1,101,174,637,0.510989010989011,351,694,0.5057636887608069,112,215,663,0.5776772247360482,0.36363636363636365
