,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-loyola-il,42.9,9,6.4,3,117.1,79.2,19,0.395,57,0.368,21,0.14,8,0.375,3,1,200,68.6,13.9,5,12,48,,4.3,3,0.298,17,0.176,3,40.0,24,0.395,18.8,14,40,0.45,18,0.0,0,"November 5, 2019",57.1,20,2.5,1,68.6,86.1,31,0.587,63,0.556,35,0.159,10,0.8,8,0,200,117.1,20.8,5,11,82,,10.0,7,0.254,16,0.25,4,60.0,36,0.605,10.6,8,47,0.66,31,1.0,1,"Joseph J. Gentile Center, Chicago, Illinois",CALIFORNIA-DAVIS,UC-Davis,70.3,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc
2019-11-08-19-furman,44.8,13,8.3,3,122.5,82.1,23,0.564,55,0.527,29,0.055,3,0.333,1,1,200,88.7,26.9,7,20,63,,4.2,3,0.255,14,0.286,4,55.6,30,0.558,28.1,22,41,0.61,25,0.5,1,"November 8, 2019",58.1,18,4.9,2,88.7,73.1,19,0.625,56,0.554,31,0.429,24,0.708,17,0,200,122.5,17.9,5,12,87,,16.9,12,0.357,20,0.4,8,44.4,24,0.645,11.9,9,36,0.639,23,1.0,2,"Timmons Arena, Greenville, South Carolina",LOYOLA-IL,Loyola (IL),71.4,Home,FURMAN,Furman,Loyola (IL),mvc
2019-11-12-20-loyola-il,30.4,7,12.1,4,94.7,80.0,28,0.466,58,0.397,23,0.483,28,0.786,22,2,200,100.0,25.0,9,26,76,,7.9,6,0.31,18,0.444,8,52.1,37,0.533,15.6,13,40,0.375,15,0.333,1,"November 12, 2019",73.9,17,10.0,4,100.0,75.0,27,0.463,54,0.426,23,0.63,34,0.647,22,2,200,94.7,20.0,7,19,72,,11.8,9,0.389,21,0.19,4,47.9,34,0.513,16.9,14,33,0.576,19,0.333,1,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),76.2,Away,COPPIN-STATE,Coppin State,Loyola (IL),mvc
2019-11-16-14-loyola-il,63.6,14,4.2,2,110.4,82.8,24,0.5,56,0.393,22,0.339,19,0.632,12,2,200,88.3,33.3,12,17,68,,9.1,7,0.607,34,0.353,12,55.4,36,0.523,27.2,24,22,0.455,10,0.5,2,"November 16, 2019",54.3,19,9.1,2,88.3,66.7,24,0.597,62,0.565,35,0.29,18,0.611,11,2,200,110.4,17.2,5,15,85,,15.6,12,0.226,14,0.286,4,44.6,29,0.602,14.6,12,48,0.646,31,0.5,2,"Joseph J. Gentile Center, Chicago, Illinois",SAINT-JOSEPHS,St. Joseph's,77.3,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc
2019-11-20-20-loyola-il,56.5,13,0.0,0,128.8,88.2,15,0.5,56,0.411,23,0.161,9,0.667,6,3,200,93.9,33.3,9,20,62,,9.1,6,0.393,22,0.455,10,54.5,24,0.514,20.0,15,34,0.382,13,0.4,2,"November 20, 2019",59.3,16,11.8,4,93.9,66.7,18,0.716,44,0.614,27,0.545,24,0.917,22,2,200,128.8,11.8,2,15,85,,10.6,7,0.364,16,0.563,9,45.5,20,0.767,19.2,13,28,0.643,18,0.6,3,"Joseph J. Gentile Center, Chicago, Illinois",IUPUI,IUPUI,66.3,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc
2019-11-25-13-south-florida,22.2,4,8.7,2,103.1,79.2,19,0.543,35,0.514,18,0.714,25,0.68,17,3,200,85.9,5.3,1,19,55,,9.4,6,0.257,9,0.222,2,46.5,20,0.587,27.0,17,26,0.615,16,0.5,3,"November 25, 2019",54.5,12,0.0,0,85.9,94.7,18,0.614,44,0.5,22,0.523,23,0.522,12,2,200,103.1,20.8,5,17,66,,14.1,9,0.477,21,0.476,10,53.5,23,0.601,21.7,15,23,0.522,12,0.6,3,"John Gray Gymnasium, Grand Cayman",LOYOLA-IL,Loyola (IL),63.9,Home,SOUTH-FLORIDA,South Florida,Loyola (IL),mvc
2019-11-26-11-loyola-il,43.5,10,5.4,2,95.2,82.6,19,0.583,48,0.479,23,0.271,13,0.385,5,3,200,96.8,3.7,1,11,61,,12.7,8,0.417,20,0.5,10,40.0,20,0.563,17.0,11,28,0.464,13,0.571,4,"November 26, 2019",46.2,12,7.1,2,96.8,96.3,26,0.549,51,0.51,26,0.118,6,0.667,4,4,200,95.2,17.4,4,12,60,,14.3,9,0.275,14,0.286,4,60.0,30,0.557,18.3,12,37,0.595,22,0.429,3,"John Gray Gymnasium, Grand Cayman",LOYOLA-IL,Loyola (IL),63.0,Away,COLORADO-STATE,Colorado State,Loyola (IL),mvc
2019-11-27-11-old-dominion,52.6,10,0.0,0,92.4,82.8,24,0.525,40,0.475,19,0.775,31,0.839,26,4,200,103.0,20.8,5,10,68,,4.5,3,0.35,14,0.286,4,54.7,29,0.621,23.0,16,26,0.577,15,0.5,4,"November 27, 2019",24.0,6,15.4,4,103.0,79.2,19,0.509,53,0.472,25,0.208,11,0.636,7,5,200,92.4,17.2,5,23,61,,13.6,9,0.302,16,0.25,4,45.3,24,0.524,18.4,13,37,0.568,21,0.375,3,"John Gray Gymnasium, Grand Cayman",OLD-DOMINION,Old Dominion,66.0,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc
2019-12-03-19-ball-state,77.3,17,4.2,1,80.6,80.0,24,0.52,51,0.431,22,0.451,23,0.739,17,4,200,97.2,7.4,2,14,70,,12.5,9,0.294,15,0.6,9,45.6,26,0.565,15.3,11,36,0.361,13,0.556,5,"December 3, 2019",66.7,12,5.6,2,97.2,92.6,25,0.442,52,0.346,18,0.269,14,0.857,12,4,200,80.6,20.0,6,18,58,,9.7,7,0.538,28,0.357,10,54.4,31,0.494,25.6,20,24,0.333,8,0.5,4,"Worthen Arena, Muncie, Indiana",BALL-STATE,Ball State,71.8,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc
2019-12-07-14-loyola-il,57.1,12,5.4,2,130.4,70.8,17,0.473,56,0.375,21,0.196,11,0.545,6,0,200,85.5,28.6,10,16,59,,11.6,8,0.571,32,0.344,11,45.8,27,0.482,22.8,18,24,0.417,10,0.0,0,"December 7, 2019",50.0,17,12.5,3,85.5,71.4,25,0.709,55,0.618,34,0.345,19,0.632,12,4,200,130.4,29.2,7,14,90,,14.5,10,0.327,18,0.556,10,54.2,32,0.703,15.9,12,37,0.649,24,0.6,6,"Joseph J. Gentile Center, Chicago, Illinois","Quincy
			","Quincy
			",69.1,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc
